symbol,price,bias,score,prob5,day_chg,ret_1h,ret_2h,vol_ratio,atr_pct,rsi,entry,sl,target,avg_range
JPPOWER,22.950000762939453,BUY,35.71825236147663,74.0,19.96864490201982,0.0,0.5696804112785392,1.1699626310476519,4.665420904279122,61.83207329457971,22.995900764465333,22.51311576183864,24.1456958026886,5.813311809500473
SUZLON,57.75,BUY,32.77329072195996,74.0,5.807984724437398,4.904633606464737,5.691802059098761,4.903166186258496,2.9474337453376234,86.29808375644991,58.1961618347168,57.32321940719604,61.10596992645264,3.0573105624233397
HFCL,173.10000610351562,BUY,19.978956342371404,65.36533475495698,6.983932533142845,0.034681472325059914,-0.7454058706793054,1.1040012619451682,5.401089792574419,59.944182500436575,176.7628236694336,172.46662019760936,185.6009648529053,6.3529077004349706
ZEEL,90.83999633789062,BUY,23.40883276898733,63.77068523188701,9.736648559373418,-1.9006502864277408,-0.9378414819762426,1.6583327781771793,4.260236176731089,63.25923029060064,93.16596336364746,91.3798728296193,97.82426153182985,4.067813285028718
DISHTV,3.2699999809265137,SELL,17.654065209065173,52.01218086724364,-2.967356321318637,0.0,-1.2084580829157865,1.8556197579355413,4.914810510140977,37.5,3.2534799904823304,3.325436059915232,3.0908059909582137,4.293309351825064
NBCC,99.19999694824219,BUY,19.486504776063555,51.47574473941458,3.8199830244979083,0.5269524133140191,1.701861817853012,2.0235851274676286,3.449019854598942,69.89532507943989,100.00961755371094,98.45740934903976,105.01009843139649,3.1513585580186896
HATHWAY,10.960000038146973,BUY,19.133736929725025,50.094221245395055,3.5916835272320924,0.7352934086817919,1.3876004875825076,2.275183110919409,2.6720538409313757,69.99994277965015,11.072100191116332,10.906018688249587,11.625705200672149,2.865256143749046
NHPC,80.95999908447266,BUY,16.776195580285993,44.907630276629185,3.212642229261542,0.6714759112440127,0.7717236430711871,1.879856185899836,2.3653654239987727,73.83154247089107,81.162,79.94457,85.22010000000002,2.233050936517791
RPOWER,27.709999084472656,BUY,15.660899680316573,44.27449115572362,3.821650543294197,0.036095022591409176,0.5442656801051049,1.1900395850531162,3.7119137461854503,58.74997019764918,28.256400764465333,27.784416813596284,29.6692208026886,3.4551279647567874
IDEA,14.210000038146973,BUY,11.708404937168641,38.10706258838359,0.49504733468606066,-0.1405446572924629,0.0,1.5391281998444486,3.7951146698205895,56.52177518669481,14.308559732437134,14.06419792018654,15.023987719058992,4.087142931653146
DEN,27.829999923706055,BUY,12.313979726666076,37.30401413941653,0.433059701184324,0.39682760850057175,-0.07181492814980484,1.3597534149346653,4.101432547968017,58.273345756227684,28.3365606880188,27.8135684726539,29.75338872241974,3.5533146851877917
